Date,AAPL,AI,AMAT,AMD,AMZN,ASML,BBAI,CEG,COIN,COPX,DELL,FCX,GLD,GOOGL,HPE,INTC,IREN,LIT,LRCX,META,MSFT,MSTR,MU,NEE,NRG,NVDA,OKLO,PLTR,SLV,SMCI,SOUN,SPY,TSM,VST
2020-07-01,88.21656799316406,,56.72373580932617,52.58000183105469,143.93499755859375,349.5596008300781,,,,15.569604873657228,25.110427856445312,10.72697925567627,166.6199951171875,71.55931854248047,7.944617748260498,52.42576217651367,,30.627073287963867,29.869171142578125,235.9021453857422,194.9874420166016,11.779999732971191,48.49212646484375,53.288875579833984,28.02391815185547,9.497624397277832,,,16.81999969482422,2.7939999103546143,,287.4819641113281,51.762393951416016,16.962438583374023
2020-07-02,88.21656799316406,,57.97835159301758,52.34000015258789,144.51499938964844,354.9134521484375,,,,15.701550483703612,24.8652400970459,10.736313819885254,166.97999572753906,72.9453353881836,7.936184406280518,52.71103286743164,,31.117332458496097,30.454370498657227,231.80078125,196.4734344482422,11.734999656677246,48.61896896362305,53.31916809082031,27.71959114074707,9.579599380493164,,,16.709999084472656,2.747999906539917,,289.0650634765625,53.40217208862305,16.873817443847656
2020-07-06,90.5763702392578,,60.31649017333984,53.400001525878906,152.8520050048828,366.5530700683594,,,,16.493223190307617,25.008655548095703,11.90330410003662,167.97999572753906,74.42020416259766,8.087992668151855,53.0765266418457,,33.559043884277344,31.513729095458984,238.6132202148437,200.7027740478516,11.975000381469728,49.68248748779297,53.44034576416016,27.922475814819336,9.805825233459473,,,17.049999237060547,2.7950000762939453,,293.5274353027344,56.37199783325195,17.08650779724121
2020-07-07,90.29532623291016,,59.09990692138672,52.93000030517578,150.00599670410156,363.2818603515625,,,,16.35248374938965,24.49515724182129,11.884631156921388,169.0399932861328,73.93734741210938,7.649435997009277,51.98005294799805,,33.8185920715332,30.84856414794922,239.189208984375,198.3689727783203,11.809000015258787,47.89696502685547,53.38842010498047,27.685773849487305,9.838214874267578,,,17.010000228881836,2.753000020980835,,290.50006103515625,55.30613708496094,16.82064437866211
2020-07-08,92.39832305908205,,59.660675048828125,53.43000030517578,154.0554962158203,372.7057495117187,,,,16.774707794189453,25.050291061401367,11.968657493591309,170.08999633789062,74.61622619628906,7.767508506774902,52.24747467041016,,34.2800178527832,31.40460205078125,241.8903350830078,202.731689453125,11.821999549865724,48.50188827514648,54.8057861328125,28.057729721069336,10.181296348571776,,,17.489999771118164,2.821000099182129,,292.7220153808594,57.01880645751953,17.334657669067383
2020-07-09,92.79566955566406,,60.345008850097656,57.2599983215332,159.13150024414062,375.3588562011719,,,,16.985820770263672,24.83748817443848,12.034008026123049,169.6300048828125,75.36357879638672,7.573532581329346,52.07810974121094,,34.22233581542969,31.58899307250977,242.803955078125,204.15098571777344,11.737000465393066,48.76533126831055,54.52881240844727,27.31380844116211,10.473301887512209,,,17.3799991607666,2.763999938964844,,291.0556335449219,59.01387023925781,16.83836555480957
2020-07-10,92.95797729492188,,59.48959732055664,55.880001068115234,160.0,376.4334716796875,,,,17.012210845947266,24.71721267700196,12.108696937561035,169.19000244140625,76.37345123291016,7.809678077697754,53.06761169433594,,34.9721565246582,31.986019134521484,243.37001037597656,203.5318603515625,11.765999794006348,49.46783065795898,56.17555236816406,27.863296508789062,10.443653106689451,,,17.43000030517578,2.763999938964844,,294.0273742675781,58.16664505004883,16.723161697387695
2020-07-13,92.52914428710938,,58.46309280395508,53.59000015258789,155.1999969482422,369.55804443359375,,,,17.320085525512695,23.949277877807617,12.155372619628906,169.39999389648438,75.04449462890625,7.961485862731934,52.22073745727539,,36.17377471923828,31.718828201293945,237.3420562744141,197.24497985839844,11.57900047302246,48.25796890258789,55.44846725463867,28.0915470123291,10.01810359954834,,,17.729999542236328,2.713000059127808,,291.4814758300781,59.27806091308594,16.935855865478516
2020-07-14,94.06036376953124,,59.44207763671875,54.720001220703125,154.1999969482422,377.3653869628906,,,,17.39045524597168,24.28698348999023,12.603498458862305,170.19000244140625,75.47274017333984,8.020522117614746,52.57730865478515,,35.72197341918945,32.55804443359375,238.0670318603516,198.4642333984375,11.666000366210938,48.50188827514648,56.81391525268555,28.607221603393555,10.34174919128418,,,17.969999313354492,2.7699999809265137,,295.2587585449219,60.99982452392578,17.00675392150879
2020-07-15,94.7072525024414,,59.02386474609375,55.34000015258789,150.44349670410156,357.0151062011719,,,,17.425642013549805,24.370258331298828,12.631508827209473,170.33999633789062,75.2752456665039,8.13016128540039,52.62188720703125,,35.69313430786133,32.29083633422852,238.6132202148437,198.16893005371097,12.045000076293944,49.28244400024414,56.04572296142578,28.75938415527344,10.192509651184082,,,18.170000076293945,2.7860000133514404,,297.97137451171875,60.17993927001953,17.10423469543457
2020-07-16,93.54187774658205,,59.25197982788086,54.91999816894531,149.9949951171875,366.3248596191406,,,,17.05619239807129,27.3402042388916,12.575491905212402,168.72999572753906,75.177978515625,8.1976318359375,52.719947814941406,,34.18389129638672,32.447021484375,239.25868225097656,194.24444580078125,11.845999717712402,48.882415771484375,58.075477600097656,28.607221603393555,10.100322723388672,,,17.780000686645508,2.812999963760376,,296.98992919921875,60.66275024414063,17.192861557006836
2020-07-17,93.3528823852539,,59.21395111083984,55.040000915527344,148.09849548339844,364.7748107910156,,,,17.320085525512695,27.92772102355957,12.67818546295166,170.1199951171875,75.27375030517578,8.155463218688965,53.486595153808594,,34.22233581542969,32.57779312133789,240.35108947753903,193.25379943847656,11.833999633789062,48.26771926879883,59.59022521972656,28.505783081054688,10.16684627532959,,,18.010000228881836,2.8399999141693115,,297.8509826660156,60.48966598510742,17.387834548950195
